Key,Module,Translation
factory.planner.feature_save_desc,factory,Save your factory layouts locally and share them with the community
factory.planner.feature_save_title,factory,Save & Load
factory.planner.feature_stats_desc,factory,"Real-time production statistics, bottleneck detection, and optimization suggestions"
factory.planner.feature_stats_title,factory,Production Analytics
factory.planner.features_subtitle,factory,Everything you need to plan your perfect AIC factory
factory.planner.features_title,factory,Features
factory.planner.report_issues,factory,Report Issues & Ideas
factory.planner.start_planning,factory,Start Planning
factory.planner.subtitle,factory,Design and optimize your AIC (Automated Industry Complex) factory layouts with an interactive grid-based planner
factory.planner.wip_message,factory,This tool is still in active development. Please report any issues or share your ideas in our Discord community!
factory.planner.wip_title,factory,Work in Progress
factory.popular,factory,Popular
factory.port_config,factory,Configure Ports
factory.port_config_hint,factory,Click on an output port to assign an item. Items entering via input ports are consumed.
factory.power,factory,Power
factory.power_consumed,factory,Power Consumed
factory.power_warning,factory,Insufficient Power!
factory.produced,factory,Produced/min
factory.produced_by,factory,Produced by
factory.producing,factory,Producing
factory.production_chain,factory,Production Chain
factory.production_depth,factory,Production Depth
factory.production_flow,factory,Production Flow
factory.production_flows,factory,Production Flows
factory.production_imbalance,factory,Production Imbalance
factory.production_rate,factory,Production rate
factory.production_statistics,factory,Production Statistics
factory.production_stats_note,factory,All rates shown are per minute. Net = Produced - Consumed.
factory.production_summary,factory,Summary
factory.raw_material,factory,Raw Material
factory.raw_materials,factory,Raw Materials
factory.recipe,factory,Recipe
factory.redo,factory,Redo
factory.requires,factory,Requires
factory.reset_view,factory,Reset View
factory.rotate,factory,Rotate
factory.rotate_building,factory,Rotate Building
factory.rotate_ccw,factory,Rotate Counter-clockwise
factory.rotate_cw,factory,Rotate Clockwise
factory.save,factory,Save
factory.save_name,factory,Name
factory.save_online,factory,Save Online
factory.saved_games,factory,Saved Games
factory.select_building,factory,Select a building...
factory.select_item,factory,Select an item...
factory.select_output,factory,Select Output
factory.select_recipe,factory,Select Recipe
factory.set_output,factory,Set Output
factory.set_recipe,factory,Set Recipe
factory.settings,factory,Settings
factory.sim_fast,factory,Fast (2x)
factory.sim_faster,factory,Faster (4x)
factory.sim_normal,factory,Normal (1x)
factory.sim_paused,factory,Paused
factory.sim_speed,factory,Speed
factory.state_clogged,factory,Output blocked
factory.state_idle,factory,Inactive
factory.state_producing,factory,Producing
factory.state_unlinked,factory,No input connections
factory.state_waiting,factory,Waiting for inputs
factory.status,factory,Status
factory.suggestion_add_building,factory,Add a new building with one of these recipes and connect it to the consumers
factory.suggestions_to_fix_deficits,factory,Suggestions to Fix Deficits
factory.surplus,factory,Surplus
factory.theoretical,factory,Theoretical
factory.thumbnail_preview,factory,Preview
factory.title,factory,Factory Planner
factory.total_buildings,factory,Active Buildings
factory.travel_time,factory,travel
factory.undo,factory,Undo
factory.unlimited,factory,Unlimited
factory.update_save,factory,Update Save
factory.view_compact,factory,Compact View
factory.view_grid,factory,Grid View
factory.view_list,factory,List View
factory.view_mode,factory,View Mode
factory.visibility_private,factory,Private
factory.visibility_private_desc,factory,Only you can see this
factory.visibility_public,factory,Public
factory.visibility_public_desc,factory,Visible in Community Blueprints
factory.your_online_saves,factory,Your Online Saves
factory.zoom_in,factory,Zoom In
factory.zoom_out,factory,Zoom Out
factory_plans.all_time,factory_plans,All Time
factory_plans.back_to_browse,factory_plans,Back to All Blueprints
factory_plans.be_first_to_share,factory_plans,Be the first to share a blueprint for
factory_plans.blueprint_found,factory_plans,blueprint found
factory_plans.blueprint_name,factory_plans,Blueprint Name
factory_plans.blueprints_found,factory_plans,blueprints found
factory_plans.browse_crafting_blueprints,factory_plans,Browse community factory blueprints for crafting
factory_plans.buildings,factory_plans,Buildings
factory_plans.buildings_used,factory_plans,Buildings Used
factory_plans.by,factory_plans,by
factory_plans.comments,factory_plans,Comments
factory_plans.confirm_delete,factory_plans,Are you sure you want to delete
factory_plans.create_blueprint,factory_plans,Create Blueprint
factory_plans.create_first_blueprint,factory_plans,Create your first factory blueprint to share with the community!
factory_plans.create_new,factory_plans,Create New
factory_plans.delete_error,factory_plans,Failed to delete blueprint
factory_plans.description,factory_plans,Browse and share community AIC factory blueprints for Arknights: Endfield
factory_plans.description_label,factory_plans,Description
factory_plans.full_description,factory_plans,Full Description
factory_plans.full_description_hint,factory_plans,Detailed guide for your blueprint (optional)
factory_plans.game_stage,factory_plans,Game Stage
factory_plans.grid_size,factory_plans,Grid size
factory_plans.how_to_craft,factory_plans,How to Craft
factory_plans.ingame_code,factory_plans,In-Game Code
factory_plans.ingame_code_hint,factory_plans,Optional: Your in-game factory sharing code
factory_plans.ingame_code_label,factory_plans,In-Game Sharing Code
factory_plans.ingame_region,factory_plans,Server Region
factory_plans.inputs,factory_plans,Inputs
factory_plans.latest,factory_plans,Latest
factory_plans.load_in_planner,factory_plans,Load in Planner
factory_plans.loading_blueprint,factory_plans,Loading blueprint...
factory_plans.make_private,factory_plans,Make Private
factory_plans.make_public,factory_plans,Make Public
factory_plans.manage_your_blueprints,factory_plans,Manage your shared factory blueprints
factory_plans.most_liked,factory_plans,Most Liked
factory_plans.my_blueprints,factory_plans,My Blueprints
factory_plans.net_power,factory_plans,Net Power
factory_plans.no_blueprints,factory_plans,No Blueprints Yet
factory_plans.no_blueprints_yet,factory_plans,No Blueprints Yet
factory_plans.no_external_inputs,factory_plans,No external inputs required
factory_plans.not_found,factory_plans,Blueprint Not Found
factory_plans.not_found_desc,factory_plans,This blueprint may have been deleted or made private.
factory_plans.open_planner,factory_plans,Open Factory Planner
factory_plans.outputs,factory_plans,Outputs
factory_plans.popular,factory_plans,Most Popular
factory_plans.power_consumption,factory_plans,Consumption
factory_plans.power_generation,factory_plans,Generation
factory_plans.private,factory_plans,Private
factory_plans.production,factory_plans,Production
factory_plans.production_preview,factory_plans,Production Preview
factory_plans.production_summary,factory_plans,Production Summary
factory_plans.public,factory_plans,Public
factory_plans.region,factory_plans,Region
factory_plans.save_blueprint,factory_plans,Save Blueprint
factory_plans.saving,factory_plans,Saving...
factory_plans.search_placeholder,factory_plans,Search blueprints...
factory_plans.share_blueprint,factory_plans,Share Blueprint
factory_plans.share_description,factory_plans,Share your factory layout with the community
factory_plans.short_description,factory_plans,Short Description
factory_plans.short_description_hint,factory_plans,Brief description shown on cards (max 200 chars)
factory_plans.sort_latest,factory_plans,Latest
factory_plans.sort_popular,factory_plans,Popular
factory_plans.tags,factory_plans,Tags
factory_plans.tags_hint,factory_plans,Select up to 3 tags
factory_plans.this_month,factory_plans,This Month
factory_plans.this_week,factory_plans,This Week
factory_plans.thumbnail_preview,factory_plans,Thumbnail Preview
factory_plans.title,factory_plans,AIC Factory Blueprints
factory_plans.toggle_error,factory_plans,Failed to update visibility
factory_plans.total_buildings,factory_plans,Total buildings
factory_plans.update_blueprint,factory_plans,Update Blueprint
factory_plans.video_guide,factory_plans,Video Guide
factory_plans.visibility,factory_plans,Visibility
factory_plans.visibility_private,factory_plans,Private - Only you can see
factory_plans.visibility_public,factory_plans,Public - Anyone can see
factory_plans.youtube_url,factory_plans,YouTube Video URL
factory_plans.youtube_url_hint,factory_plans,Optional video guide
guides.features_title,guides,What You'll Learn
home.ascension_planner_desc,home,Plan character and weapon upgrades with material tracking
home.browse_blueprints,home,Browse Community Blueprints
home.character_builds,home,Character Builds
home.character_planner_desc,home,Plan your character progression and resources
home.character_showcase_desc,home,Share and discover character builds from the community
home.characters_desc,home,Browse all Endfield characters with full details and community discussion
home.check_out_tools,home,Check out my tools!
home.codes.copied,home,Copied!
home.codes.copy,home,Copy code
home.codes.ends_in,home,Ends in
home.codes.expired,home,Expired
home.codes.how_to_redeem,home,"How to redeem: In-game, go to [Settings] > [Platform & Account] > [Exchange Code]"
home.codes.no_expiration,home,No expiration
home.codes.tap_to_copy,home,Tap to copy
home.codes.title,home,Redeem Codes
home.coming_soon,home,Soon
home.community,home,Community
home.community_builds_desc,home,Share and explore community character builds
home.community_plans_desc,home,Share and explore factory plans from the community
home.equipment_desc,home,Discover equipment sets and their bonuses
home.essences_desc,home,Discover weapon essences and their effects
home.events.ended,home,Ended
home.events.ends_in,home,Ends in
home.events.left,home,left
home.events.not_confirmed,home,Not confirmed
home.events.starts_in,home,Starts in
home.events.title,home,Events
home.factory_blueprints,home,AIC Factory Blueprints
home.factory_blueprints_desc,home,Browse and share community AIC factory blueprints
home.factory_planner_desc,home,Plan and optimize your factory layout with ease
home.factory_short,home,Factory (AIC)
home.factory_simulator,home,Factory Simulator
home.fun_tools,home,Fun & Simulation
home.guides_desc,home,Learn game mechanics and strategies with comprehensive guides
home.headhunt_tracker_desc,home,Track your headhunt pulls and pity counter
home.interactive_map_desc,home,Explore the world with an interactive map
home.login_register,home,Login / Register
home.planner_desc,home,Open the interactive factory grid planner
home.planners,home,Planners
home.popular_builds,home,Popular Character Builds
home.popular_builds_desc,home,Discover the most popular character builds from our community
home.simulators,home,Simulators
home.site_description,home,The coolest collection of tools and utilities for Arknights: Endfield players.
home.summon_simulator_desc,home,Fun gacha simulator with a twist: a luck leaderboard!
home.toolbox,home,Toolbox
home.toolbox_desc,home,Explore our collection of tools and utilities
home.tools,home,Tools
home.valley_iv_desc,home,Explore the Valley IV region
home.view_all,home,View All
home.weapons_desc,home,Explore all weapon types and their stats
home.welcome_to,home,Welcome to
home.wuling_desc,home,Explore the Wuling region
home.your_profile,home,Your Profile
map.activate,map,Activate
map.amber_rice,map,Amber Rice
map.battles,map,Battle Encounters
map.category_battles,map,Battle Encounters
map.category_chests,map,Treasure Chests
map.category_collectibles,map,Collectibles
map.category_daily_instances,map,Daily Instances
map.category_dungeons,map,Dungeons
map.category_ether,map,Ether Resources
map.category_factory,map,Factory POIs
map.category_mining_formations,map,Mining Formations
map.category_mining_points,map,Mining Points
map.category_narrative,map,Story Fragments
map.category_other,map,Other POIs
map.category_plants,map,Plant Materials
map.category_rare_minerals,map,Rare Minerals
map.category_terminals,map,Terminals
map.category_travel,map,Travel
map.challenge,map,Challenge
map.challenge_entrance,map,Challenge Entrance
map.chest,map,Chest
map.chest_high_tier,map,High-Tier Chest
map.chest_locked,map,Locked Chest
map.chest_normal,map,Normal Chest
map.clear_all,map,Clear
map.clear_search,map,Clear Search
map.click_to_explore,map,Click to Explore
map.close,map,Close
map.collectible,map,Collectible
map.collectibles,map,Collectibles
map.communication_terminal,map,Communication Terminal
map.coordinates,map,Coordinates
map.daily_dungeon,map,Daily Dungeon
map.dungeon,map,Dungeon
map.dungeon_entrance,map,Dungeon Entrance
map.dungeon_exit,map,Dungeon Exit
map.enemies,map,Enemies
map.enemy_encounter,map,Enemy Encounter
map.energy_point,map,Energy Point
map.ether_recycle,map,Ether Recycle
map.fast_travel,map,Fast Travel
map.fast_travel_point,map,Fast Travel Point
map.feature_battles_desc,map,"Dungeon entrances, challenge points, and boss locations"
map.feature_battles_title,map,Battle Encounters
map.feature_chests_desc,map,"Find and track all chest locations - normal, locked, and high-tier chests"
map.feature_chests_title,map,Treasure Chests
map.feature_collectibles_desc,map,"Story fragment, terminal, and collection point locations"
map.feature_collectibles_title,map,Collectibles
map.feature_filtering_desc,map,"Filter points of interest by type, level, and region"
map.feature_filtering_title,map,Advanced Filtering
map.feature_filters_desc,map,Filter POIs by category to focus on specific resources or collectibles.
map.feature_filters_title,map,Advanced Filters
map.feature_gathering_desc,map,"Discover plant gathering locations including mushrooms, flowers, and other botanical resources."
map.feature_gathering_title,map,Gathering Sites
map.feature_mining_desc,map,"Ore node locations, mining formations, and rare mineral spots"
map.feature_mining_title,map,Mining Points
map.feature_poi_desc,map,"Explore all POIs including travel points, terminals, dungeons, and story fragments."
map.feature_poi_title,map,Points of Interest
map.feature_tracking_desc,map,Mark collected items and track your exploration progress across the map.
map.feature_tracking_title,map,Progress Tracking
map.feature_travel_desc,map,Map of all fast travel points in the game
map.feature_travel_title,map,Fast Travel
map.features_subtitle,map,Track all important locations
map.features_title,map,Explore Every Corner
map.filter,map,Filter & Search
map.filters,map,Filters
map.glowbug,map,Glowbug
map.hub_area,map,Hub Area
map.interactive_object,map,Interactive Object
map.layer,map,Layer
map.layers,map,Map Layers
map.legend,map,Legend
map.level,map,Level
map.level_ranges,map,Level Ranges
map.loading,map,Loading map data...
map.mark_arrow,map,Mark Arrow
map.mark_fac_unlocker,map,Factory Unlocker
map.mechanism,map,Mechanism
map.mineral_copper,map,Copper
map.mineral_iron,map,Iron
map.mineral_originium,map,Originium
map.mineral_quartz,map,Quartz
map.mineral_special_metal,map,Special Metal
map.narrative_fragment,map,Fragment
map.no_results,map,No points of interest found
map.poi_details,map,POI Details
map.poi_types,map,POI Types
map.pois_visible,map,POIs visible
map.rare_mineral,map,Rare Mineral
map.rare_prefix,map,Rare 
map.reading_terminal,map,Reading Terminal
map.recommended_level,map,Recommended Level
map.redjade_ginseng,map,Redjade Ginseng
map.reed_rye,map,Reed Rye
map.region,map,Region
map.region_talos_ii,map,Talos-II
map.region_valley_iv,map,Valley IV Map
map.region_wuling,map,Wuling Map
map.report_issues,map,Report issues and ideas on our Discord community
map.reset_view,map,Reset View
map.rewards,map,Rewards
map.scorchbug,map,Scorchbug
map.search_placeholder,map,Search points of interest...
map.select_all,map,All
map.select_layer,map,Select Layer
map.select_region,map,Select Region
map.show_all,map,Show All
map.special_locations,map,Special Locations
map.terminal,map,Terminal
map.title,map,Interactive Map
map.travel_point,map,Travel Point
map.type,map,Type
map.view_point,map,View Point
map.warning_terminal,map,Warning Terminal
map.welcome_subtitle,map,"Your ultimate companion for exploring Arknights: Endfield. Find all treasure chests, mining points, collectibles, and points of interest."
map.wip_message,map,The interactive map is currently under development. Join our Discord community to report issues or share your ideas!
map.wip_title,map,Work in Progress
map.zoom_in,map,Zoom In
map.zoom_out,map,Zoom Out
nav.achievement_tracker,nav,Achievement Tracker
nav.achievement_tracker_short,nav,Achievements
nav.ascension_planner,nav,Ascension Planner
nav.character_planner,nav,Character Planner
nav.character_showcase,nav,Character Showcase
nav.characters,nav,Characters
nav.community_blueprints,nav,Community Blueprints
nav.community_builds,nav,Community Builds
nav.community_plans,nav,Community Plans
nav.discord,nav,Join the community
nav.factory_planner,nav,Factory Planner
nav.guides,nav,Guides
nav.headhunt_short,nav,Headhunt
nav.headhunt_tracker,nav,Headhunt Tracker
nav.home,nav,Home
nav.interactive_map,nav,Interactive Map
nav.planner,nav,Planner
nav.profile,nav,Profile
nav.recipes,nav,Recipes
nav.summon_simulator,nav,Summon Simulator
nav.weapon_essence_solver,nav,Essence Solver
nav.weapon_essences,nav,Weapon Essences
nav.weapons,nav,Weapons
notification.deleted,notification,Deleted successfully
notification.error,notification,An error occurred
notification.loaded,notification,Loaded successfully
notification.saved,notification,Saved successfully
reactions.authentication_required,reactions,Authentication Required
reactions.dislike,reactions,Dislike
reactions.like,reactions,Like
reactions.login_required,reactions,Please log in to react to this content.
summon.amazing_pull,summon,Amazing pull! You got {count} six-star{plural}! This could be first place! Submit to leaderboard?
summon.amazing_pull_prompt,summon,Amazing pull! You got {count} six-star{plural}! Would you like to submit this to the leaderboard?
summon.animation_in_progress,summon,Animation in Progress...
summon.auth_error,summon,Authentication error. Please log in again.
summon.average,summon,Average
summon.average_joe,summon,Average Joe
summon.average_rarity,summon,Average Rarity
summon.average_title,summon,"Perfectly balanced, as all things should be."
summon.base_six_star_rate,summon,Base 6★ rate: {rate}%
summon.best_session,summon,Best 10-pull session:
summon.better_five_star,summon,Better result! Your {count} five-star{plural} beat your previous best of {previous}! Submit to leaderboard?
summon.better_score,summon,Better result! Your score of {current} beat your previous best of {previous}! Submit to leaderboard?
summon.blessed_by_rng,summon,Blessed by RNG
summon.blessed_title,summon,You've been touched by fortune!
summon.character_collection,summon,Character Collection
summon.character_pool,summon,Character Pool
summon.characters_available,summon,{count} characters available
summon.collection_progress,summon,Collection:
summon.collection_ratio,summon,{current} / {total} characters
summon.complete_character_list,summon,Complete list of available characters with individual drop rates
summon.counted_message,summon,Your summon results will be counted towards the leaderboard. Compete for the King of the Hill role!
summon.counter_resets,summon,Counter resets when you get any 5★ or 6★
summon.current_pity_counter,summon,Current Pity Counter:
summon.current_rate,summon,Current rate: {rate}%
summon.current_rate_with_bonus,summon,Current rate: {rate}% (+{bonus}% bonus)
summon.current_six_star_rate,summon,Current 6★ Rate
summon.cursed_by_rng,summon,Cursed by RNG
summon.cursed_title,summon,The gacha gods are testing you...
summon.description,summon,"Feed your gacha addiction! Roll the dice and chase those elusive 6★ characters with realistic drop rates. ""Just one more 10-pull, I swear!"""
summon.discord_linked,summon,Discord linked - You'll receive the role if you win!
summon.discord_warning,summon,"You can still submit to the leaderboard, but you won't get the role if you win without Discord linked!"
summon.download_image,summon,Download Image
summon.drop_rates,summon,Summon Drop Rates
summon.drop_rates_by_rarity,summon,Drop Rates by Rarity
summon.each_rate,summon,~{rate}% each
summon.expected_rate,summon,Expected: {rate}%
summon.first_six_star,summon,First 6★ at:
summon.first_six_star_pulls,summon,{count} pulls
summon.five_star_guarantee,summon,5★ Guarantee System
summon.five_star_pity_counter,summon,5★ Pity Counter
summon.five_star_rate,summon,5★ Rate
summon.four_star_rate,summon,4★ Rate
summon.fun_stats,summon,Fun Stats
summon.gacha_hell,summon,Gacha Hell
summon.gacha_hell_title,summon,May your luck improve soon...
summon.generating_image,summon,Generating image...
summon.guaranteed_at,summon,Guaranteed 6★ at {threshold} summons
summon.guaranteed_five_star,summon,Guaranteed 5★ or higher every {threshold} summons without getting a 5★+
summon.individual_character_rates,summon,Individual Character Drop Rates
summon.leaderboard_description,summon,Top 10 best pulls of the week (resets every Monday)
summon.leaderboard_discord_reward,summon,"The #1 player gets the ""King of the Hill"" role on the {site} Discord!"
summon.leaderboard_title,summon,Weekly Leaderboard
summon.least_pulled_character,summon,Least Pulled Character
summon.least_pulled_six_star,summon,Least Pulled 6★
summon.legendary_luck,summon,Legendary Luck
summon.legendary_title,summon,The RNG gods smile upon you!
summon.link_discord_profile,summon,Link your Discord account in your profile to receive the role!
summon.link_discord_reminder,summon,Don't forget to link your Discord account to receive the role!
summon.loading_leaderboard,summon,Loading leaderboard...
summon.logged_in,summon,Logged in
summon.login_to_save,summon,Login to save your results
summon.lucky,summon,Lucky!
summon.lucky_charm,summon,Lucky Charm
summon.lucky_title,summon,Fortune favors the bold!
summon.most_pulled_character,summon,Most Pulled Character
summon.most_pulled_six_star,summon,Most Pulled 6★
summon.new_record,summon,New record! Your {count} six-star{plural} beat your previous best of {previous}! Submit to leaderboard?
summon.new_record_submitted,summon,New record! Your score of {score} has been submitted to the leaderboard!
summon.next_guaranteed,summon,Next summon is guaranteed 5★ or higher!
summon.next_guarantees_five_star,summon,Next summon guarantees a 5★ or higher!
summon.next_guarantees_six_star,summon,Next summon guarantees a 6★!
summon.nice_pull,summon,Nice Pull!
summon.no_history,summon,No summon history yet. Perform your first summon to see results here!
summon.not_counted_warning,summon,Your summon results will not be counted towards the leaderboard.
summon.not_logged_in,summon,Not logged in
summon.not_logged_in_message,summon,Too bad you weren't logged in! This pull could have claimed a top 10 spot on the leaderboard.
summon.not_owned,summon,Not owned
summon.novice_description,summon,Perform your first summon to see your statistics!
summon.novice_summoner,summon,Novice Summoner
summon.on_leaderboard,summon,#{placement} on leaderboard
summon.owned_count,summon,{count}×
summon.perform_10x,summon,Perform 10x Summon/Headhunt
summon.pity_active,summon,Pity system active! +{bonus}% bonus rate
summon.pity_active_bonus,summon,Pity active: +{bonus}% bonus
summon.pity_bonus,summon,Pity Bonus
summon.pity_counter,summon,Pity Counter
summon.pity_resets,summon,Pity resets completely when you get a 6★
summon.pity_starts_at,summon,Pity starts at {threshold} summons: +{increase}% per summon
summon.pity_system,summon,Pity System (6★)
summon.pool_description,summon,"Browse all available characters in the summon pool, organized by rarity"
summon.profile_error,summon,Profile not loaded. Please try again.
summon.pulled_count,summon,{count} pulled
summon.pulled_times,summon,Pulled {count} time{plural}
summon.pulls_until_guaranteed_five_star,summon,Pulls until guaranteed 5★
summon.rarity_breakdown,summon,Rarity Breakdown
summon.rate,summon,{rate}% rate
summon.recent_description,summon,Your latest 10x summon/headhunt results
summon.recent_summons,summon,Recent Summons
summon.record_beaten,summon,New record! Your score of {current} beat your previous best of {previous}!
summon.record_holder,summon,RECORD HOLDER
summon.reset_confirm,summon,Are you sure you want to reset all your summon/headhunt statistics? This cannot be undone.
summon.reset_stats,summon,Reset All Statistics
summon.reset_warning,summon,This will permanently delete all your summon history
summon.result_preview,summon,Summon/Headhunt result preview
summon.session_preview,summon,Summon/Headhunt session preview
summon.share_result,summon,Share Your Summon/Headhunt
summon.share_session,summon,Share Summon/Headhunt Session
summon.six_star_rate,summon,6★ Rate
summon.six_star_resets_counter,summon,Getting a 6★ also resets this counter
summon.six_stars_count,summon,{count} six-stars
summon.slightly_unlucky,summon,Slightly Unlucky
summon.slightly_unlucky_title,summon,Things could be better...
summon.star_characters,summon,{rarity}-Star Characters
summon.stats_description,summon,Track your gacha journey and see how lucky you are!
summon.stats_title,summon,Your Summon Statistics
summon.submit,summon,Submit to Leaderboard
summon.submit_failed,summon,Failed to submit to leaderboard. Please try again.
summon.submit_qualifier,summon,Your summon result qualifies for the leaderboard!
summon.submit_success,summon,Your summon result has been submitted to the leaderboard!
summon.submit_to_leaderboard,summon,Submit to Leaderboard?
summon.submitting,summon,Submitting...
summon.summoned_on,summon,Summoned on {site}
summon.summoning,summon,Summoning/Headhunting 10 Characters...
summon.summons_until_guaranteed,summon,{count} summons until guaranteed 5★!
summon.summons_without_five_star,summon,Summons without 5★+:
summon.summons_without_five_star_plus,summon,Summons without 5★+
summon.table_character,summon,Character
summon.table_drop_rate,summon,Drop Rate
summon.table_profession,summon,Profession
summon.table_rarity,summon,Rarity
summon.table_type,summon,Type
summon.title,summon,Summon/Headhunt Simulator
summon.total_pulls,summon,Total Pulls
summon.total_value,summon,Total Value
summon.unique_characters,summon,Unique Characters
summon.unlucky,summon,Unlucky
summon.very_lucky,summon,VERY LUCKY!
summon.very_unlucky,summon,VERY UNLUCKY
summon.view_profile,summon,View your profile
summon.warning_until_guaranteed,summon,{count} summons until guaranteed 5★!
summon.your_stats,summon,Your Stats
theme.dark,theme,Dark
theme.dark_desc,theme,Endfield tools dark theme
theme.high_contrast,theme,High Contrast
theme.light,theme,Light
theme.light_desc,theme,Endfield tools light theme
theme.navy,theme,Navy
weapons.attack,weapons,Attack
weapons.attack_growth,weapons,Attack Growth
weapons.attack_stats,weapons,Attack Stats
weapons.best_characters,weapons,Best Characters to Equip It
weapons.best_weapons,weapons,Best Weapons
weapons.breakthrough,weapons,Breakthrough
weapons.breakthrough_level,weapons,Breakthrough Level
weapons.compatible_characters,weapons,Compatible Characters
weapons.compatible_characters_desc,weapons,This weapon can be equipped by characters with the same weapon type.
weapons.compatible_weapons,weapons,Compatible Weapons
weapons.description,weapons,Description
weapons.effects,weapons,Effects
weapons.level_up_requirements,weapons,Level-Up Requirements
weapons.max_level,weapons,Max Level
weapons.no_skills,weapons,No skill data available
weapons.passive_attribute,weapons,Passive Attribute
weapons.potential_skill,weapons,Potential Skill
weapons.results,weapons,weapons found
weapons.search,weapons,Search weapons...
weapons.skill_level,weapons,Level
weapons.skill_levels_unlocked,weapons,Skill Levels Unlocked
weapons.skills,weapons,Skills
weapons.skills_talents,weapons,Skills & Talents
weapons.special_attribute,weapons,Special Attribute
weapons.stage,weapons,Stage {stage}
weapons.stat_increase,weapons,Stat Increase
weapons.view_compatible_characters,weapons,View Compatible Characters
