Key,Module,EN,CN,TC,JP,KR,RU,MX,PT,FR,DE,ID,VI,TH,IT
characters.browse_all,characters,Browse all Endfield characters,浏览所有终末地角色,瀏覽所有終末地角色,すべてのエンドフィールドキャラクターを閲覧,모든 엔드필드 캐릭터 탐색,Просмотреть всех персонажей Endfield,Explorar todos los personajes de Endfield,Explorar Todos,Parcourir tous les personnages d'Endfield,Alle Endfield-Charaktere durchsuchen,Jelajahi Semua,Duyệt tất cả,เรียกดูทั้งหมด,Sfoglia tutti i personaggi di Endfield
characters.def,characters,DEF,防御力,防禦力,防御力,방어력,ЗАЩ,DEF,DEF,DÉF,DEF,PRT,Phòng thủ,พลังป้องกัน,DIF
characters.department,characters,Faction,派系,派系,陣営,진영,Фракция,Facción,Departamento,Faction,Abteilung,Departemen,Phòng ban,แผนก,Fazione
characters.discussion,characters,Character Discussion,角色讨论,角色討論,キャラクターディスカッション,캐릭터 토론,Обсуждение Персонажа,Discusión de Personaje,Discussão,Discussion sur le Personnage,Charakter-Diskussion,Diskusi,Thảo luận,การสนทนา,Discussione Personaggio
characters.effect,characters,Effect,效果,效果,効果,효과,Эффект,Efecto,Efeito,Effet,Effekt,Efek,Hiệu ứng,เอฟเฟกต์,Effetto
characters.element,characters,Element,元素,元素,属性,속성,Элемент,Elemento,Elemento,Élément,Element,Elemen,Nguyên tố,ธาตุ,Elemento
characters.exp_items_required,characters,EXP Items,经验物品,經驗物品,経験値アイテム,경험치 아이템,Предметы опыта,Items de EXP,Itens de EXP Necessários,Objets d'EXP,EXP-Gegenstände,Item EXP Diperlukan,Vật phẩm EXP cần thiết,ไอเทม EXP ที่ต้องการ,Oggetti EXP
characters.experience_calculator,characters,Experience Calculator,经验计算器,經驗計算器,経験値計算機,경험치 계산기,Калькулятор Опыта,Calculadora de Experiencia,Calculadora de Experiência,Calculateur d'Expérience,Erfahrungsrechner,Kalkulator Pengalaman,Máy tính kinh nghiệm,เครื่องคำนวณค่าประสบการณ์,Calcolatore Esperienza
characters.factory_skill_slot,characters,Skill Slot {slot},技能槽位 {slot},技能槽位 {slot},スキルスロット {slot},스킬 슬롯 {slot},Слот Навыков {slot},Ranura de Habilidad {slot},Slot de Habilidade de Fábrica,Emplacement de Compétence {slot},Fähigkeitsslot {slot},Slot Skill Pabrik,Ô kỹ năng nhà máy,ช่องสกิลโรงงาน,Slot Abilità {slot}
characters.factory_skills,characters,Factory Skills,基建技能,基建技能,基地スキル,기지 스킬,Навыки Базы,Habilidades de Base,Habilidades de Fábrica,Compétences d'Usine,Fabrikfähigkeiten,Skill Pabrik,Kỹ năng nhà máy,สกิลโรงงาน,Abilità Fabbrica
characters.from_level,characters,From,从,從,から,시작,От,Desde,Do Nível,De,Von,Dari Level,Từ cấp,จากเลเวล,Da
characters.hp,characters,HP,生命值,生命值,HP,HP,HP,HP,PV,PV,LP,HP,HP,HP,PV
characters.level_1,characters,Level 1,等级 1,等級 1,レベル1,레벨 1,Уровень 1,Nivel 1,Nível 1,Niveau 1,Stufe 1,Level 1,Cấp 1,เลเวล 1,Livello 1
characters.level_range,characters,Level Range,等级范围,等級範圍,レベル範囲,레벨 범위,Диапазон Уровней,Rango de Nivel,Faixa de Nível,Plage de Niveau,Stufenbereich,Rentang Level,Phạm vi cấp độ,ช่วงเลเวล,Intervallo Livelli
characters.level_up_requirements,characters,Level-Up Requirements,升级要求,升級要求,レベルアップ要件,레벨업 요구사항,Требования для Повышения Уровня,Requisitos de Subida de Nivel,Requisitos de Nível,Prérequis de Montée de Niveau,Aufstiegsvoraussetzungen,Persyaratan Naik Level,Yêu cầu nâng cấp,ข้อกำหนดเลเวลอัป,Requisiti Salita Livello
characters.materials_required,characters,Materials,所需材料,所需材料,必要素材,필요 재료,Требуемые Материалы,Materiales Requeridos,Materiais Necessários,Matériaux,Materialien,Material Diperlukan,Tài liệu cần thiết,วัสดุที่ต้องการ,Materiali
characters.max_level,characters,Max Level,最大等级,最大等級,最大レベル,최대 레벨,Максимальный Уровень,Nivel Máximo,Nível Máximo,Niveau Max,Max-Stufe,Level Maksimal,Cấp tối đa,เลเวลสูงสุด,Livello Massimo
characters.no_factory_skills,characters,No factory skills available,无基建技能,無基建技能,基地スキルなし,기지 스킬 없음,Нет навыков базы,Sin habilidades de base,Sem habilidades de fábrica,Aucune compétence d'usine disponible,Keine Fabrikfähigkeiten verfügbar,Tidak ada skill pabrik,Không có kỹ năng nhà máy,ไม่มีสกิลโรงงาน,Nessuna abilità fabbrica disponibile
characters.potential,characters,Potential,潜能,潛能,潜在能力,잠재력,Потенциал,Potencial,Potencial,Potentiel,Potenzial,Potensi,Tiềm năng,ศักยภาพ,Potenziale
characters.potential_level,characters,Potential {level},潜能 {level},潛能 {level},潜在能力 {level},잠재력 {level},Потенциал {level},Potencial {level},Nível de Potencial,Potentiel {level},Potenzial {level},Level Potensi,Cấp tiềm năng,ระดับศักยภาพ,Potenziale {level}
characters.potential_passive,characters,Potential & Passives,潜能与被动,潛能與被動,潜能とパッシブ,잠재력 및 패시브,Потенциал и Пассивы,Potencial y Pasivos,Passiva de Potencial,Potentiel et Passifs,Potenzial und Passive,Pasif Potensi,Kỹ năng tiềm năng thụ động,สกิลศักยภาพพาสซีฟ,Potenziale e Passivi
characters.profession,characters,Profession,职业,職業,職業,직업,Профессия,Profesión,Profissão,Profession,Beruf,Profesi,Nghề nghiệp,อาชีพ,Professione
characters.profile_records,characters,Profile Records,档案记录,檔案記錄,プロフィール記録,프로필 기록,Записи профиля,Registros de Perfil,Registros de Perfil,Dossiers du Profil,Profilakten,Catatan Profil,Hồ sơ cá nhân,บันทึกโปรไฟล์,Registri Profilo
characters.required_items,characters,Required Items,所需材料,所需材料,必要アイテム,필요 아이템,Требуемые Предметы,Objetos Requeridos,Itens Necessários,Objets Requis,Benötigte Gegenstände,Item Diperlukan,Vật phẩm cần thiết,ไอเทมที่ต้องการ,Oggetti Richiesti
characters.results,characters,characters found,找到角色,找到角色,キャラクター見つかりました,캐릭터 발견됨,персонажей найдено,personajes encontrados,Resultados,personnages trouvés,Charaktere gefunden,Hasil,kết quả,ผลลัพธ์,personaggi trovati
characters.search,characters,Search characters...,搜索角色...,搜尋角色...,キャラクター検索...,캐릭터 검색...,Поиск персонажей...,Buscar personajes...,Buscar,Rechercher des personnages...,Charaktere suchen...,Cari,Tìm kiếm nhân vật...,ค้นหาตัวละคร...,Cerca personaggi...
characters.skill_type_basic_attack,characters,Basic Attack,普通攻击,普通攻擊,通常攻撃,기본 공격,Базовая Атака,Ataque Básico,Ataque Básico,Attaque Basique,Basisangriff,Serangan Dasar,Tấn Công Cơ Bản,โจมตีพื้นฐาน,Attacco Base
characters.skill_type_combo,characters,Combo Skill,连携技,連攜技,連携技,콤보 스킬,Комбо Навык,Habilidad de Combo,Combo,Compétence Combo,Combo-Fähigkeit,Combo,Combo,คอมโบ,Abilità Combo
characters.skill_type_normal,characters,Normal Skill,普通技能,普通技能,通常スキル,일반 스킬,Обычный Навык,Habilidad Normal,Normal,Compétence Normale,Normal-Fähigkeit,Normal,Thường,ปกติ,Abilità Normale
characters.skill_type_talent,characters,Talent,天赋,天賦,タレント,재능,Талант,Talento,Talento,Talent,Talent,Bakat,Tài năng,พรสวรรค์,Talento
characters.skill_type_ultimate,characters,Ultimate Skill,终结技,終結技,必殺技,궁극기,Ультимативный Навык,Habilidad Definitiva,Ultimate,Compétence Ultime,Ultimate-Fähigkeit,Ultimate,Tối thượng,อัลติเมท,Abilità Ultimate
characters.stats_progression,characters,Stats Progression,属性成长,屬性成長,ステータス成長,스탯 성장,Прогрессия Характеристик,Progresión de Estadísticas,Progressão de Status,Progression des Stats,Stat-Entwicklung,Progres Stat,Tiến trình chỉ số,ความคืบหน้าสเตตัส,Progressione Statistiche
characters.to_level,characters,To,到,到,まで,종료,До,Hasta,Ao Nível,À,Bis,Ke Level,Đến cấp,ถึงเลเวล,A
characters.unlocks_at,characters,Unlocks at Lv.{level},等级{level}解锁,等級{level}解鎖,レベル{level}で解放,레벨 {level}에서 잠금 해제,Разблокируется на Ур.{level},Se desbloquea en Nv.{level},Desbloqueia em,Débloqué au Niv.{level},Freigeschaltet bei Lv.{level},Terbuka di,Mở khóa tại,ปลดล็อคที่,Si sblocca al Lv.{level}
characters.voice_actors,characters,Voice Actors,配音演员,配音演員,声優,성우,Актёры Озвучки,Actores de Voz,Dubladores,Doubleurs,Synchronsprecher,Pengisi Suara,Diễn viên lồng tiếng,นักพากย์,Doppiatori
characters.voice_lines,characters,Voice Lines,语音台词,語音台詞,ボイスライン,음성 대사,Реплики Озвучки,Líneas de Voz,Falas,Lignes de Voix,Sprachzeilen,Dialog Suara,Thoại nhân vật,บทพูด,Battute Vocali
characters.weapon_type,characters,Weapon Type,武器类型,武器類型,武器タイプ,무기 유형,Тип оружия,Tipo de Arma,Tipo de Arma,Type d'Arme,Waffentyp,Tipe Senjata,Loại vũ khí,ประเภทอาวุธ,Tipo Arma
comments.auth_required_title,comments,Authentication Required,需要身份验证,需要身份驗證,認証が必要です,인증 필요,Требуется Аутентификация,Autenticación Requerida,Autenticação Necessária,Authentification Requise,Authentifizierung erforderlich,Autentikasi Diperlukan,Yêu cầu xác thực,ต้องการการยืนยันตัวตน,Autenticazione Richiesta
comments.be_first,comments,Be the first to share your thoughts!,成为第一个分享想法的人！,成為第一個分享想法的人！,最初のコメントを投稿しましょう！,첫 번째로 의견을 남겨보세요!,"Будьте первым, кто поделится мнением!",¡Sé el primero en compartir tu opinión!,Seja o primeiro a comentar!,Soyez le premier à partager vos pensées !,"Seien Sie der Erste, der seine Gedanken teilt!",Jadilah yang pertama berkomentar!,Hãy là người đầu tiên bình luận!,เป็นคนแรกที่แสดงความคิดเห็น!,Sii il primo a condividere i tuoi pensieri!
comments.char_count,comments,{count} / {max},{count} / {max},{count} / {max},{count} / {max},{count} / {max},{count} / {max},{count} / {max},caracteres,{count} / {max},{count} / {max},karakter,ký tự,ตัวอักษร,{count} / {max}
comments.days_ago,comments,{count}d ago,{count}天前,{count}天前,{count}日前,{count}일 전,{count}д назад,Hace {count}d,dias atrás,il y a {count}j,vor {count}T,hari yang lalu,ngày trước,วันที่แล้ว,{count}g fa
comments.deleting,comments,Deleting...,正在删除...,正在刪除...,削除中...,삭제 중...,Удаление...,Eliminando...,Excluindo...,Suppression...,Löschen...,Menghapus...,Đang xóa...,กำลังลบ...,Eliminazione...
comments.edit_placeholder,comments,Edit your comment...,编辑你的评论...,編輯您的評論...,コメントを編集...,댓글을 편집하세요...,Редактировать комментарий...,Edita tu comentario...,Edite seu comentário...,Modifier votre commentaire...,Ihren Kommentar bearbeiten...,Edit komentar Anda...,Chỉnh sửa bình luận của bạn...,แก้ไขความคิดเห็นของคุณ...,Modifica il tuo commento...
comments.edited,comments,(edited),（已编辑）,（已編輯）,（編集済み）,(수정됨),(изменено),(editado),editado,(modifié),(bearbeitet),diedit,đã chỉnh sửa,แก้ไขแล้ว,(modificato)
comments.error_delete_failed,comments,Failed to delete comment. Please try again.,评论删除失败，请重试。,刪除評論失敗，請重試。,コメントの削除に失敗しました。もう一度お試しください。,댓글 삭제에 실패했습니다. 다시 시도해주세요.,Не удалось удалить комментарий. Попробуйте снова.,"Error al eliminar comentario. Por favor, intenta de nuevo.",Falha ao excluir comentário,Échec de la suppression du commentaire. Veuillez réessayer.,Kommentar konnte nicht gelöscht werden. Bitte versuchen Sie es erneut.,Gagal menghapus komentar,Không thể xóa bình luận,ไม่สามารถลบความคิดเห็นได้,Impossibile eliminare il commento. Riprova.
comments.error_empty,comments,Comment cannot be empty.,评论不能为空。,評論不能為空。,コメントを入力してください。,댓글은 비워둘 수 없습니다.,Комментарий не может быть пустым.,El comentario no puede estar vacío.,Comentário não pode estar vazio,Le commentaire ne peut pas être vide.,Kommentar darf nicht leer sein.,Komentar tidak boleh kosong,Bình luận không được để trống,ความคิดเห็นต้องไม่ว่างเปล่า,Il commento non può essere vuoto.
comments.error_invalid_content,comments,Your comment contains invalid characters or HTML tags. Please use plain text only.,你的评论包含无效字符或HTML标签，请仅使用纯文本。,您的評論包含無效字符或 HTML 標籤，請僅使用純文字。,コメントに無効な文字またはHTMLタグが含まれています。プレーンテキストのみを使用してください。,댓글에 잘못된 문자나 HTML 태그가 포함되어 있습니다. 일반 텍스트만 사용하세요.,Ваш комментарий содержит недопустимые символы или HTML-теги. Используйте только текст.,"Tu comentario contiene caracteres inválidos o etiquetas HTML. Por favor, usa solo texto plano.",Conteúdo inválido,Votre commentaire contient des caractères invalides ou des balises HTML. Veuillez utiliser uniquement du texte brut.,Ihr Kommentar enthält ungültige Zeichen oder HTML-Tags. Bitte verwenden Sie nur Klartext.,Konten tidak valid,Nội dung bình luận không hợp lệ,เนื้อหาความคิดเห็นไม่ถูกต้อง,Il tuo commento contiene caratteri non validi o tag HTML. Usa solo testo semplice.
comments.error_post_failed,comments,Failed to post comment. Please try again.,评论发布失败，请重试。,發布評論失敗，請重試。,コメントの投稿に失敗しました。もう一度お試しください。,댓글 게시에 실패했습니다. 다시 시도해주세요.,Не удалось опубликовать комментарий. Попробуйте снова.,"Error al publicar comentario. Por favor, intenta de nuevo.",Falha ao postar comentário,Échec de la publication du commentaire. Veuillez réessayer.,Kommentar konnte nicht gepostet werden. Bitte versuchen Sie es erneut.,Gagal memposting komentar,Không thể đăng bình luận,ไม่สามารถโพสต์ความคิดเห็นได้,Impossibile pubblicare il commento. Riprova.
comments.error_too_long,comments,Comment is too long (max {max} characters).,评论过长（最多 {max} 个字符）。,評論過長（最多 {max} 字符）。,コメントが長すぎます（最大{max}文字）。,댓글이 너무 깁니다 (최대 {max}자).,Комментарий слишком длинный (макс. {max} символов).,El comentario es demasiado largo (máx. {max} caracteres).,Comentário muito longo,Le commentaire est trop long (max {max} caractères).,Kommentar ist zu lang (max {max} Zeichen).,Komentar terlalu panjang,Bình luận quá dài,ความคิดเห็นยาวเกินไป,Il commento è troppo lungo (max {max} caratteri).
comments.error_update_failed,comments,Failed to update comment. Please try again.,评论更新失败，请重试。,更新評論失敗，請重試。,コメントの更新に失敗しました。もう一度お試しください。,댓글 수정에 실패했습니다. 다시 시도해주세요.,Не удалось обновить комментарий. Попробуйте снова.,"Error al actualizar comentario. Por favor, intenta de nuevo.",Falha ao atualizar comentário,Échec de la mise à jour du commentaire. Veuillez réessayer.,Kommentar konnte nicht aktualisiert werden. Bitte versuchen Sie es erneut.,Gagal memperbarui komentar,Không thể cập nhật bình luận,ไม่สามารถอัปเดตความคิดเห็นได้,Impossibile aggiornare il commento. Riprova.
comments.formatting_guide,comments,Formatting,格式指南,格式化,書式設定,서식,Форматирование,Formato,Guia de formatação,Mise en forme,Formatierung,Panduan format,Hướng dẫn định dạng,คู่มือการจัดรูปแบบ,Formattazione
comments.hide_replies,comments,Hide {count} replies,隐藏 {count} 条回复,隱藏 {count} 條回覆,{count}件の返信を非表示,{count}개 답글 숨기기,Скрыть {count} ответов,Ocultar {count} respuestas,Ocultar respostas,Masquer {count} réponses,{count} Antworten ausblenden,Sembunyikan balasan,Ẩn phản hồi,ซ่อนการตอบกลับ,Nascondi {count} risposte
comments.hours_ago,comments,{count}h ago,{count}小时前,{count}小時前,{count}時間前,{count}시간 전,{count}ч назад,Hace {count}h,horas atrás,il y a {count}h,vor {count}Std,jam yang lalu,giờ trước,ชั่วโมงที่แล้ว,{count}h fa
comments.join_discussion,comments,Join the discussion...,加入讨论...,加入討論...,ディスカッションに参加...,토론에 참여하세요...,Присоединиться к обсуждению...,Únete a la discusión...,Participe da discussão,Rejoignez la discussion...,An der Diskussion teilnehmen...,Bergabung dalam diskusi,Tham gia thảo luận,เข้าร่วมการสนทนา,Unisciti alla discussione...
comments.just_now,comments,Just now,刚刚,剛剛,たった今,방금,Только что,Ahora mismo,agora mesmo,À l'instant,Gerade eben,baru saja,Vừa xong,เมื่อสักครู่,Adesso
comments.load_more,comments,Load More Comments,加载更多评论,載入更多評論,さらにコメントを読み込む,댓글 더 보기,Загрузить Больше Комментариев,Cargar Más Comentarios,Carregar mais,Charger Plus de Commentaires,Mehr Kommentare laden,Muat lebih banyak,Tải thêm,โหลดเพิ่มเติม,Carica Altri Commenti
comments.loading,comments,Loading comments...,正在加载评论...,正在載入評論...,コメントを読み込み中...,댓글 로딩 중...,Загрузка комментариев...,Cargando comentarios...,Carregando...,Chargement des commentaires...,Kommentare werden geladen...,Memuat...,Đang tải...,กำลังโหลด...,Caricamento commenti...
comments.loading_replies,comments,Loading replies...,正在加载回复...,正在載入回覆...,返信を読み込み中...,답글 로딩 중...,Загрузка ответов...,Cargando respuestas...,Carregando respostas...,Chargement des réponses...,Antworten werden geladen...,Memuat balasan...,Đang tải phản hồi...,กำลังโหลดการตอบกลับ...,Caricamento risposte...
comments.login_link,comments,log in,登录,登入,ログイン,로그인,войти,iniciar sesión,Entrar,connectez-vous,anmelden,Masuk,Đăng nhập,เข้าสู่ระบบ,accedi
comments.login_required,comments,Please {login} to post comments.,请登录以发表评论。,請登入以發布評論。,コメントするにはログインしてください。,댓글을 작성하려면 로그인하세요.,"Пожалуйста, войдите, чтобы оставлять комментарии.",Inicia sesión para publicar comentarios.,Login necessário para comentar,Veuillez {login} pour poster des commentaires.,"Bitte {login}, um Kommentare zu posten.",Login diperlukan untuk berkomentar,Vui lòng đăng nhập để bình luận,กรุณาเข้าสู่ระบบเพื่อแสดงความคิดเห็น,Per favore {login} per pubblicare commenti.
comments.mention_keyboard_hint,comments,↑↓ Navigate • Enter Select • Esc Close,↑↓ 导航 • Enter 选择 • Esc 关闭,↑↓ 導航 • Enter 選擇 • Esc 關閉,↑↓ 移動 • Enter 選択 • Esc 閉じる,↑↓ 이동 • Enter 선택 • Esc 닫기,↑↓ Навигация • Enter Выбор • Esc Закрыть,↑↓ Navegar • Enter Seleccionar • Esc Cerrar,Use @ para mencionar usuários,↑↓ Naviguer • Entrée Sélectionner • Échap Fermer,↑↓ Navigieren • Enter Auswählen • Esc Schließen,Gunakan @ untuk menyebut pengguna,Sử dụng @ để đề cập người dùng,ใช้ @ เพื่อกล่าวถึงผู้ใช้,↑↓ Naviga • Invio Seleziona • Esc Chiudi
comments.mention_no_users,comments,No users found,未找到用户,找不到用戶,ユーザーが見つかりません,사용자를 찾을 수 없습니다,Пользователи не найдены,No se encontraron usuarios,Nenhum usuário encontrado,Aucun utilisateur trouvé,Keine Benutzer gefunden,Tidak ada pengguna ditemukan,Không tìm thấy người dùng,ไม่พบผู้ใช้,Nessun utente trovato
comments.mention_searching,comments,Searching users...,正在搜索用户...,正在搜尋用戶...,ユーザーを検索中...,사용자 검색 중...,Поиск пользователей...,Buscando usuarios...,Buscando...,Recherche d'utilisateurs...,Benutzer werden gesucht...,Mencari...,Đang tìm kiếm...,กำลังค้นหา...,Ricerca utenti...
comments.minutes_ago,comments,{count}m ago,{count}分钟前,{count}分鐘前,{count}分前,{count}분 전,{count}м назад,Hace {count}m,minutos atrás,il y a {count}min,vor {count}Min,menit yang lalu,phút trước,นาทีที่แล้ว,{count}m fa
comments.no_comments,comments,No comments yet,暂无评论,暫無評論,まだコメントがありません,아직 댓글이 없습니다,Комментариев пока нет,Aún no hay comentarios,Nenhum comentário ainda,Pas encore de commentaires,Noch keine Kommentare,Belum ada komentar,Chưa có bình luận,ยังไม่มีความคิดเห็น,Ancora nessun commento
comments.placeholder,comments,Share your thoughts...,分享你的想法...,分享您的想法...,あなたの考えを共有...,의견을 공유하세요...,Поделитесь своими мыслями...,Comparte tu opinión...,Escreva um comentário...,Partagez vos pensées...,Teilen Sie Ihre Gedanken...,Tulis komentar...,Viết bình luận...,เขียนความคิดเห็น...,Condividi i tuoi pensieri...
comments.post_comment,comments,Post Comment,发表评论,發布評論,コメントを投稿,댓글 작성,Опубликовать Комментарий,Publicar Comentario,Publicar Comentário,Poster le Commentaire,Kommentar posten,Posting Komentar,Đăng bình luận,โพสต์ความคิดเห็น,Pubblica Commento
comments.post_reply,comments,Post Reply,发表回复,發布回覆,返信を投稿,답글 작성,Опубликовать Ответ,Publicar Respuesta,Publicar Resposta,Poster la Réponse,Antwort posten,Posting Balasan,Đăng phản hồi,โพสต์การตอบกลับ,Pubblica Risposta
comments.posting,comments,Posting...,正在发布...,正在發布...,投稿中...,게시 중...,Публикация...,Publicando...,Publicando...,Publication...,Wird gepostet...,Memposting...,Đang đăng...,กำลังโพสต์...,Pubblicazione...
comments.reply,comments,Reply,回复,回覆,返信,답글,Ответить,Responder,Responder,Répondre,Antworten,Balas,Phản hồi,ตอบกลับ,Rispondi
comments.reply_placeholder,comments,Write a reply...,写一条回复...,撰寫回覆...,返信を書く...,답글을 작성하세요...,Напишите ответ...,Escribe una respuesta...,Escreva uma resposta...,Écrire une réponse...,Antwort schreiben...,Tulis balasan...,Viết phản hồi...,เขียนการตอบกลับ...,Scrivi una risposta...
comments.replying_to,comments,Replying to,回复,回覆給,返信先,답글 대상,Ответ для,Respondiendo a,Respondendo a,Répondre à,Antwort an,Membalas,Đang phản hồi,กำลังตอบกลับ,Rispondendo a
comments.save_changes,comments,Save Changes,保存更改,保存更改,変更を保存,변경사항 저장,Сохранить Изменения,Guardar Cambios,Salvar Alterações,Enregistrer les Modifications,Änderungen speichern,Simpan Perubahan,Lưu thay đổi,บันทึกการเปลี่ยนแปลง,Salva Modifiche
comments.show_replies,comments,Show {count} replies,显示 {count} 条回复,顯示 {count} 條回覆,{count}件の返信を表示,{count}개 답글 보기,Показать {count} ответов,Mostrar {count} respuestas,Mostrar respostas,Afficher {count} réponses,{count} Antworten anzeigen,Tampilkan balasan,Hiện phản hồi,แสดงการตอบกลับ,Mostra {count} risposte
comments.success_deleted,comments,Comment deleted successfully!,评论删除成功！,評論刪除成功！,コメントが削除されました！,댓글이 성공적으로 삭제되었습니다!,Комментарий успешно удалён!,¡Comentario eliminado exitosamente!,Comentário excluído,Commentaire supprimé avec succès !,Kommentar erfolgreich gelöscht!,Komentar dihapus,Đã xóa bình luận,ลบความคิดเห็นแล้ว,Commento eliminato con successo!
comments.success_posted,comments,Comment posted successfully!,评论发布成功！,評論發布成功！,コメントが投稿されました！,댓글이 성공적으로 게시되었습니다!,Комментарий успешно опубликован!,¡Comentario publicado exitosamente!,Comentário publicado,Commentaire publié avec succès !,Kommentar erfolgreich gepostet!,Komentar diposting,Đã đăng bình luận!,โพสต์ความคิดเห็นแล้ว!,Commento pubblicato con successo!
comments.success_reply_posted,comments,Reply posted successfully!,回复发布成功！,回覆發布成功！,返信が投稿されました！,답글이 성공적으로 게시되었습니다!,Ответ успешно опубликован!,¡Respuesta publicada exitosamente!,Resposta publicada,Réponse publiée avec succès !,Antwort erfolgreich gepostet!,Balasan diposting,Đã đăng phản hồi!,โพสต์การตอบกลับแล้ว!,Risposta pubblicata con successo!
comments.success_updated,comments,Comment updated successfully!,评论更新成功！,評論更新成功！,コメントが更新されました！,댓글이 성공적으로 수정되었습니다!,Комментарий успешно обновлён!,¡Comentario actualizado exitosamente!,Comentário atualizado,Commentaire mis à jour avec succès !,Kommentar erfolgreich aktualisiert!,Komentar diperbarui,Đã cập nhật bình luận,อัปเดตความคิดเห็นแล้ว,Commento aggiornato con successo!
comments.warning_auth_required,comments,Please log in to post comments.,请登录以发表评论。,請登入以發布評論。,コメントするにはログインしてください。,댓글을 작성하려면 로그인하세요.,"Пожалуйста, войдите, чтобы оставлять комментарии.",Inicia sesión para publicar comentarios.,Você precisa estar logado para comentar,Veuillez vous connecter pour poster des commentaires.,"Bitte melden Sie sich an, um Kommentare zu posten.",Anda harus login untuk berkomentar,Bạn cần đăng nhập để bình luận,คุณต้องเข้าสู่ระบบเพื่อแสดงความคิดเห็น,Accedi per pubblicare commenti.
common.all_time,common,All Time,全部时间,全部時間,全期間,전체 기간,За все время,Todo el tiempo,Todos os Tempos,Tout le Temps,Gesamtzeit,Sepanjang Waktu,Tất cả thời gian,ตลอดกาล,Di Sempre
common.alternative,common,Alternative,备选,備選,代替,대안,Альтернатива,Alternativa,Alternativa,Alternative,Alternative,Alternatif,Thay thế,ทางเลือก,Alternativa
common.back,common,Back,返回,返回,戻る,뒤로,Назад,Volver,Voltar,Retour,Zurück,Kembali,Quay lại,กลับ,Indietro
common.breakthrough,common,Breakthrough,突破,突破,ブレイクスルー,돌파,Прорыв,Avance,Avanço,Percée,Durchbruch,Terobosan,Đột phá,บุกทะลุ,Breakthrough
common.buildings,common,Buildings,建筑,建築,建物,건물,Здания,Edificios,Construções,Bâtiments,Gebäude,Bangunan,Công trình,อาคาร,Edifici
common.cancel,common,Cancel,取消,取消,キャンセル,취소,Отмена,Cancelar,Cancelar,Annuler,Abbrechen,Batal,Hủy,ยกเลิก,Annulla
common.character,common,Character,角色,角色,キャラ,캐릭터,Персонаж,Personaje,Personagem,Personnage,Charakter,Karakter,Nhân vật,ตัวละคร,Personaggio
common.characters,common,Characters,角色,角色,キャラクター,캐릭터,Персонажи,Personajes,Personagens,Personnages,Charaktere,Karakter,Nhân vật,ตัวละคร,Personaggi
common.clear,common,Clear,清除,清除,クリア,지우기,Очистить,Limpiar,Limpar,Effacer,Löschen,Hapus,Xóa,ล้าง,Cancella
common.close,common,Close,关闭,關閉,閉じる,닫기,Закрыть,Cerrar,Fechar,Fermer,Schließen,Tutup,Đóng,ปิด,Chiudi
common.coming_soon,common,Coming soon...,即将推出...,即將推出...,近日公開...,곧 출시...,Скоро...,Próximamente...,Em Breve,Bientôt disponible...,Demnächst verfügbar...,Segera Hadir,Sắp ra mắt,เร็วๆ นี้,Prossimamente...
common.comments,common,Comments,评论,留言,コメント,댓글,Комментарии,Comentarios,Comentários,Commentaires,Kommentare,Komentar,Bình luận,ความคิดเห็น,Commenti
common.confirm,common,Confirm,确认,確認,確認,확인,Подтвердить,Confirmar,Confirmar,Confirmer,Bestätigen,Konfirmasi,Xác nhận,ยืนยัน,Conferma
common.copied,common,Copied!,已复制!,已複製!,コピーしました!,복사됨!,Скопировано!,¡Copiado!,Copiado!,Copié !,Kopiert!,Disalin!,Đã sao chép!,คัดลอกแล้ว!,Copiato!
common.copy,common,Copy,复制,複製,コピー,복사,Копировать,Copiar,Copiar,Copier,Kopieren,Salin,Sao chép,คัดลอก,Copia
common.copy_link,common,Copy Link,复制链接,複製連結,リンクをコピー,링크 복사,Копировать ссылку,Copiar enlace,Copiar Link,Copier le Lien,Link kopieren,Salin Link,Sao chép liên kết,คัดลอกลิงก์,Copia Link
common.delete,common,Delete,删除,刪除,削除,삭제,Удалить,Eliminar,Excluir,Supprimer,Löschen,Hapus,Xóa,ลบ,Elimina
common.description,common,Description,描述,描述,説明,설명,Описание,Descripción,Descrição,Description,Beschreibung,Deskripsi,Mô tả,คำอธิบาย,Descrizione
common.edit,common,Edit,编辑,編輯,編集,편집,Редактировать,Editar,Editar,Modifier,Bearbeiten,Edit,Chỉnh sửa,แก้ไข,Modifica
common.equipment,common,Equipment,装备,裝備,装備,장비,Снаряжение,Equipo,Equipamento,Équipement,Ausrüstung,Equipment,Trang bị,อุปกรณ์,Equipaggiamento
common.error,common,Error,错误,錯誤,エラー,오류,Ошибка,Error,Erro,Erreur,Fehler,Error,Lỗi,ข้อผิดพลาด,Errore
common.exp_required,common,EXP Required,所需经验,所需經驗,必要経験値,필요 경험치,Требуется EXP,EXP Requerida,EXP Necessária,EXP Requise,EXP benötigt,EXP Diperlukan,EXP cần thiết,EXP ที่ต้องการ,EXP Richiesta
common.filters,common,Filters,筛选,篩選,フィルター,필터,Фильтры,Filtros,Filtros,Filtres,Filter,Filter,Bộ lọc,ตัวกรอง,Filtri
